ID|Subject|Email_Body|Intent|Mentioned_Location|Mentioned_Price
293|Counter offer - Property in Beckenham|Further to the vendor's counter of £485,000, I can go to £470,000 for the house in Beckenham. This is genuinely my maximum. The survey highlighted some roof issues which justifies my caution. Please see if vendor will meet me halfway. Graham|Offer_Submission|Beckenham|£470,000
294|extractor fan in kitchen broken|the extractor fan above the cooker isnt working. its really steamy when i cook and grease is building up everywhere. can you get it fixed or replaced?|Maintenance_Issue||
295|Valuation - Flat for sale|Dear Team, I'm looking to sell my 1-bed flat in Acton. It's in a purpose-built block from the 1960s, leasehold, communal gardens. Need a realistic valuation please. Available most days for viewing appointment. Kind regards, Susan|Valuation_Request|Acton|
296|Viewing - Georgian property|Good afternoon, I am extremely interested in the Georgian property in Blackheath listed at £1,650,000. The architecture and period features are exceptional. I am a cash buyer and would like to arrange a viewing urgently. Sir Richard|Viewing_Request|Blackheath|£1,650,000
297|Offer - First home purchase|Dear Sir/Madam, I would like to offer £265,000 for the 1-bedroom flat in Croydon. This will be my first home purchase and I'm very excited. I have a 10% deposit and mortgage offer from Halifax. Hope this is acceptable. Kind regards, Tyler|Offer_Submission|Croydon|£265,000
298|wardrobe door fallen off|one of the fitted wardrobe doors in the bedroom has come off its hinges. i cant close it properly now and its blocking access to the other side. can someone come reattach it?|Maintenance_Issue||
299|Valuation request - Maisonette|Hi there, I need to get my 3-bed maisonette in New Malden valued. It's got 2 floors, private entrance, small garden. Leasehold but very long lease left. When can you come? Cheers, Lisa|Valuation_Request|New Malden|
300|viewing for rental property|hi looking for a 2 bed flat to rent around the 1900 pcm mark. saw yours in battersea. looks great. can we view it this weekend? me and my partner both work in finance. excellent references available. thanks|Viewing_Request|Battersea|£1,900
301|Viewing request for SW7 property|Dear Agent, I would like to arrange a viewing for the 3-bed leasehold flat in South Kensington SW7. I understand the asking price is £2,000,000. Best regards.|Viewing_Request|SW7|£2,000,000
302|(no subject)|hi can i view the place in bermondsey se1? saw it for 400pw.|Viewing_Request|SE1|£400pw
303|E2 flat|Pls arrange viewing for the Bethnal Green E2 flat ASAP. Chain-free buyer here.|Viewing_Request|E2|N/A
304|Viewing enquiry - N8|Good afternoon. We wish to view the semi-detached house in Crouch End N8. We have our AIP ready to go.|Viewing_Request|N8|N/A
305|viewing in barking|saw the 2 bed in IG11 going for 1500 pcm. can me and my partner come see it on saturday?|Viewing_Request|IG11|1500 pcm
306|(no subject)|is the flat in mitcham cr4 still around? looking at properties up to 300k.|Viewing_Request|CR4|300k
307|Mayfair apartment viewing|Dear Lettings Team, I am interested in viewing the corporate let in W1K advertised at £5,000 pcm. Please let me know your availability next week.|Viewing_Request|W1K|£5,000 pcm
308|NW5 terraced|Hi, please book us in to see the terraced house in Kentish Town NW5.|Viewing_Request|NW5|N/A
309|Property viewing N22|To whom it may concern, I would like to book a viewing for the freehold property in Wood Green N22, listed at £600,000. Thank you.|Viewing_Request|N22|£600,000
310|Viewing: KT1|Hi there, I noticed the detached property in Kingston KT1 is back on the market for £850k. What is the current EPC rating? I'd like to view it.|Viewing_Request|KT1|£850k
311|brmoley house|hwllo id like to view the house in BR1 tomorrow morning if posssible.|Viewing_Request|BR1|N/A
312|Peckham Let|Good morning, we are very interested in the 3-bed flat in SE15 at £2200 pcm. Are you conducting viewings this Thursday?|Viewing_Request|SE15|£2200 pcm
313|E1W warehouse conversion|quick one - is the wapping warehouse flat (800k) available to view today?|Viewing_Request|E1W|800k
314|viewing request sw1a|im looking to rent in westminster sw1a. do u have any 1 beds to view?|Viewing_Request|SW1A|N/A
315|(no subject)|can we view the uxbridge property ub8 listed for £1200 pcm?|Viewing_Request|UB8|£1200 pcm
316|Viewing Registration EN1|Dear Sirs, I am looking for a chain-free semi-detached in Enfield EN1. Please register me for viewings of any suitable new instructions.|Viewing_Request|EN1|N/A
317|N1 Studio|hi is the studio in islington n1 still £450 pw? want to view.|Viewing_Request|N1|£450 pw
318|Chiswick property|Hello, we'd like to view the £1.1m family home in W4. We are currently under offer on our own property and proceeding smoothly.|Viewing_Request|W4|£1.1m
319|walthamstow e17|hy there want to view the ex council flat in E17 listed for 500k thx|Viewing_Request|E17|500k
320|eltham viewings|can i view the houses u have in se9?|Viewing_Request|SE9|N/A
321|Rental Viewing HA9|Good afternoon, could you schedule a viewing for the 2-bed apartment in Wembley HA9? We are happy with the £1800 PCM asking rent.|Viewing_Request|HA9|£1800 PCM
322|Putney Flat|Dear Agent, regarding the leasehold apartment in SW15 (£750,000). Could you confirm the ground rent and service charge before we book a viewing?|Viewing_Request|SW15|£750,000
323|(no subject)|when can i see the rm1 house?|Viewing_Request|RM1|N/A
324|N12 rent|hi i want to see the flat in finchley N12 for 1900 pcm. let me know.|Viewing_Request|N12|1900 pcm
325|E14 Apartment|Dear team, please can I view the 2-bed flat in Canary Wharf E14 advertised at £550k? I am a cash buyer.|Viewing_Request|E14|£550k
326|Probate Valuation SW19|Dear Sir/Madam, I require a formal written probate valuation for a 4-bedroom detached house in Wimbledon SW19. Please advise on your fees for this service.|Valuation_Request|SW19|N/A
327|value my flat E8|hi need an agent to pop round to my flat in hackney E8 to tell me what its worth to sell. thanks.|Valuation_Request|E8|N/A
328|valuation east dulwich|we want to put our house in se22 on the market soon. hoping for around 600k. can u come value it?|Valuation_Request|SE22|600k
329|finsbury park n4|need someone to value my 1 bed in n4. wanting to let it out.|Valuation_Request|N4|N/A
330|(no subject)|how much is my semi in croydon CR0 worth? bought for 450,000 3 years ago.|Valuation_Request|CR0|450,000
331|Market Appraisal W12|Hello, we are looking to upsize and would appreciate a free market appraisal of our current terraced home in Shepherds Bush W12. We believe it's around £800k.|Valuation_Request|W12|£800k
332|HMO Valuation E15|Good morning, I have recently completed an HMO conversion on a property in Stratford E15. I need a rental valuation to determine the yield per room.|Valuation_Request|E15|N/A
333|NW1 Remortgage|Hi, I am looking to remortgage my leasehold apartment in Camden NW1 and require an up-to-date valuation. Could you assist?|Valuation_Request|NW1|N/A
334|BR3 valuation|pls can you value my house in beckenham br3?|Valuation_Request|BR3|N/A
335|Valuation - EN5 property|Dear Agents, as we are planning to downsize, we need a valuation of our 5-bedroom freehold property in Barnet EN5. Similar houses have sold for £1.2m recently.|Valuation_Request|EN5|£1.2m
336|ilford ig1|can u snd a valuer to my hmo in ig1 nx week pls.|Valuation_Request|IG1|N/A
337|blackheath se3|hi whats my 2 bed flat in se3 worth? neighbour sold for 750k.|Valuation_Request|SE3|750k
338|(no subject)|need valaution in clapham sw4 asap to sell|Valuation_Request|SW4|N/A
339|N16 Valuation|Good afternoon, we own a garden flat in Stoke Newington N16 and are curious about its current sales value. Do you offer free no-obligation valuations?|Valuation_Request|N16|N/A
340|Wapping E1W appraisal|Dear Sirs, please arrange a market appraisal for my penthouse in Wapping E1W. I am looking to achieve £900,000 and am chain-free.|Valuation_Request|E1W|£900,000
341|Acton W3|hi want to sell my place in W3. please value it.|Valuation_Request|W3|N/A
342|HA0 Valuation Request|Hello, I'd like to arrange a valuation for my 3-bed semi in Wembley HA0. Hoping it's reached the £500k mark now.|Valuation_Request|HA0|£500k
343|rm7 value|need quick valuation on rm7 property for divorce settlement. pls call me.|Valuation_Request|RM7|N/A
344|southall ub2|can u come tell me rent value of my studio in ub2? maybe 350k to sell too?|Valuation_Request|UB2|350k
345|greenwich valuation|need my property in se10 vauled on friday morning. let me kow if possibel.|Valuation_Request|SE10|N/A
346|(no subject)|require premium valuation for detached home in st johns wood NW8. expecting circa £2.5m.|Valuation_Request|NW8|£2.5m
347|E11 Rental Val|Morning, we are moving abroad and want to rent out our house in Leytonstone E11. Can you provide a rental valuation?|Valuation_Request|E11|N/A
348|SW2 Market Value|Dear Team, I am an accidental landlord looking to sell my leasehold flat in Brixton SW2. Could you advise if £650k is a realistic asking price?|Valuation_Request|SW2|£650k
349|Archway N19|pls value my 2 bed flat in N19 for let.|Valuation_Request|N19|N/A
350|Valuation KT2|Good morning, I request an appraisal of my freehold property in Kingston KT2. Given recent renovations, I am targeting a listing price of £1m.|Valuation_Request|KT2|£1m
351|NO HEATING SE16|The boiler is completely dead in the SE16 flat! We have no heating or hot water and I have a baby. Get an engineer here NOW!|Maintenance_Issue|SE16|N/A
352|leak in e5|theres water coming through the bathroom ceiling in the e5 flat. think its from the roof. pls fix.|Maintenance_Issue|E5|N/A
353|ovenn broken n9|hi the oven has stpped wrking in the N9 house. we cant cook anything. pls snd someone.|Maintenance_Issue|N9|N/A
354|Mould Issue W9|Dear Property Management, we are experiencing severe black mould in the bathroom of the W9 flat despite ventilating. For £1600 pcm, we expect better living conditions.|Maintenance_Issue|W9|£1600 pcm
355|(no subject)|electrics keep tripping in SW17. cant even boil the kettle. needs an electrician asap|Maintenance_Issue|SW17|N/A
356|NW3 lock broken|Hi, the front door lock in NW3 is sticking. We are struggling to get in.|Maintenance_Issue|NW3|N/A
357|RATS IN KITCHEN|We have seen two rats in the kitchen of the E14 apartment! This is absolutely unacceptable for a £2500 pcm property. Send pest control immediately!!!|Maintenance_Issue|E14|£2500 pcm
358|Broken Window N2|Dear Lettings, one of the sash windows in the living room of the N2 property will not close properly. It is a security risk. Please arrange repair.|Maintenance_Issue|N2|N/A
359|toilet cr2|the toilet in the main bthroom in CR2 is completely blocked. plunging isnt doing anything. help.|Maintenance_Issue|CR2|N/A
360|camberwell se5|hi radiators in the se5 house are stone cold even when boiler is on. needs looking at.|Maintenance_Issue|SE5|N/A
361|(no subject)|fridge freezer in ig3 has died. all food ruined. need replacement.|Maintenance_Issue|IG3|N/A
362|Guttering EN3|Hello, the front guttering on the EN3 terraced house is overflowing badly during heavy rain. Looks blocked. Could you get someone to clear it?|Maintenance_Issue|EN3|N/A
363|DAMP EVERYWHERE W11|The damp in the master bedroom in W11 is ruining our furniture. We pay £3000 PCM for this premium flat and it's practically raining inside. FIX IT!|Maintenance_Issue|W11|£3000 PCM
364|SW8 alarm|fire alarm in communal hallway of SW8 building is beeping non stop. driving us mad.|Maintenance_Issue|SW8|N/A
365|Roof Leak NW10|To the Maintenance Team, following last night's storm, water is leaking through the loft hatch in the NW10 property. Please send a roofer urgently.|Maintenance_Issue|NW10|N/A
366|washing machine e10|the washing mchine in the E10 flat isnt draining water at all. clothes are soaking. pls fix.|Maintenance_Issue|E10|N/A
367|shower se24|electric shower in se24 has no hot water coming out. just freezing cold.|Maintenance_Issue|SE24|N/A
368|(no subject)|door handle fell off the front door in N15. cant shut it properly.|Maintenance_Issue|N15|N/A
369|Extractor Fan HA4|Good morning, the bathroom extractor fan in the HA4 property has stopped working, leading to heavy condensation. Please can this be replaced?|Maintenance_Issue|HA4|N/A
370|FENCE BLOWN DOWN|The entire back fence at the RM3 house has blown down in the wind. The garden is now completely unsecured. Send a fencer today!|Maintenance_Issue|RM3|N/A
371|UB4 boiler|boiler pressure keeps dropping to zero in ub4. having to top it up daily.|Maintenance_Issue|UB4|N/A
372|Carpet trip hazard SW1V|Dear Management, the carpet on the main staircase in the SW1V building has come loose and is a serious trip hazard. Please address this immediately.|Maintenance_Issue|SW1V|N/A
373|kitchen sink e1|the kicthen sink in E1 is leaking underneath into the cupboards. making a massive mess.|Maintenance_Issue|E1|N/A
374|nw6 fuse box|fuse box making a weird buzzing noise in nw6 flat. feels dangerous.|Maintenance_Issue|NW6|N/A
375|(no subject)|mice spotted in the SE11 property. paying £1800 pcm, sort this out please.|Maintenance_Issue|SE11|£1800 pcm
376|Offer Submission SW6|Dear Agent, I would like to formally offer £1,100,000 for the freehold property in Fulham SW6. I am a cash buyer with no chain. Proof of funds attached.|Offer_Submission|SW6|£1,100,000
377|E2 rent offer|hi we r happy to offer 1900 pcm for the 2 bed in E2. can move in nxt month.|Offer_Submission|E2|1900 pcm
378|offer n7|id like to put an offer of 550k on the n7 flat. chain free buyer.|Offer_Submission|N7|550k
379|(no subject)|offering 400,000 for the se4 house. know it needs work so this is my best offer.|Offer_Submission|SE4|400,000
380|Offer to Let W10|Good afternoon, we loved the flat in W10. We would like to offer the asking rent of £2200 PCM on a 12-month AST. We can provide references immediately.|Offer_Submission|W10|£2200 PCM
381|NW2 Offer|Hi, submitting an offer of £650k for the NW2 semi-detached. We are proceeding without a chain.|Offer_Submission|NW2|£650k
382|CR7 Leasehold Offer|Dear Sirs, we wish to offer £380,000 for the leasehold flat in Thornton Heath CR7. This is subject to contract and a satisfactory structural survey.|Offer_Submission|CR7|£380,000
383|FINAL OFFER E17|This is my final and best offer for the E17 terraced house: 700k. If the vendor doesn't accept by midday tomorrow, I am withdrawing.|Offer_Submission|E17|700k
384|Corporate Let SW1X|To the Lettings Director, my firm would like to secure the SW1X apartment for a senior executive. We offer £4500 pcm for a 2-year term with no break clause.|Offer_Submission|SW1X|£4500 pcm
385|ig6 offer|puting in an offer of 500k for the ig6 bunglow. we have our mortgage sorted.|Offer_Submission|IG6|500k
386|se18 let|happy to pay the 1400 pcm for the woolwich se18 flat. send over the paperwork.|Offer_Submission|SE18|1400 pcm
387|(no subject)|formal offer of £1.2m for the muswell hill n10 property. cash waiting.|Offer_Submission|N10|£1.2m
388|Offer on W5 property|Hello, we'd like to offer £2100 PCM for the Ealing W5 flat. This is conditional on the landlord adding a pet clause for a small, well-behaved dog.|Offer_Submission|W5|£2100 PCM
389|EN4 offer|Hi, we want to offer £800k for the detached house in EN4. Short chain below us.|Offer_Submission|EN4|£800k
390|Offer Submission NW9|Dear Agent, please find attached our AIP. We are making an official offer of £425,000 for the 2-bed flat in Colindale NW9.|Offer_Submission|NW9|£425,000
391|rm11 offer|hi offerin 600k for the rm11 property. thx|Offer_Submission|RM11|600k
392|ub1 renting|we want the ub1 flat. offering 1300 pcm as asking. can pay deposit today.|Offer_Submission|UB1|1300 pcm
393|(no subject)|offering £950k for the sw14 house. vendor must leave all white goods.|Offer_Submission|SW14|£950k
394|E6 Let Offer|Good morning, I wish to offer £1600 pcm for the flat in East Ham E6. I am willing to pay 6 months rent upfront to secure it quickly.|Offer_Submission|E6|£1600 pcm
395|SE27|hi offering 450k for the flat in west norwood se27. chain free.|Offer_Submission|SE27|450k
396|Revised Offer N14|Dear Sir/Madam, following the down-valuation by our mortgage lender, we must regrettably revise our offer on the N14 house to £680,000.|Offer_Submission|N14|£680,000
397|ha8 offer|wanna offer 550k on the edgware ha8 house. let me know what vendor thinks.|Offer_Submission|HA8|550k
398|w13 let|offering 1750 pcm for the w13 flat. need to move by end of the month.|Offer_Submission|W13|1750 pcm
399|(no subject)|£1.5m cash offer for the nw11 detached. no chain.|Offer_Submission|NW11|£1.5m
400|Offer SW20|Hello, we are delighted to offer the asking price of £825,000 for the freehold semi-detached in Raynes Park SW20. We are first-time buyers with an AIP in place.|Offer_Submission|SW20|£825,000
401 | Viewing request for 2-bed flat | Dear Sir/Madam, I would like to arrange a viewing for the 2-bed leasehold flat advertised at £1,450 PCM. I am available evenings this week. Kind regards | Viewing_Request | Islington N1 | £1450 PCM
402 | can i view this pls | hi, saw the studio in e14 going for £320 pw, can i come see it tomorrow? cheers | Viewing_Request | E14 London | £320 pw
403 | Appointment to view property | Good afternoon, I am interested in viewing the semi-detached freehold house listed at £525,000. Please advise suitable times. | Viewing_Request | Croydon CR0 | £525000
404 | viewing | hello i want to view the terraced house in n18 when can i come | Viewing_Request | N18 London |
405 | Viewing enquiry | Dear agent, Could I book a viewing for the one-bedroom flat advertised at £1,200 PCM? I work locally and can attend during lunch hours. | Viewing_Request | Camden NW1 | £1200 PCM
406 | Flat viewing request | Hi there, interested in the chain-free flat at £410k. Are there slots this weekend? Thanks | Viewing_Request | Hackney E8 | £410000
407 | RE: property listing | Please arrange a viewing for the maisonette listed at £275,000. I am a first-time buyer and mortgage agreed in principle. | Viewing_Request | Enfield EN1 | £275000
408 | wanna see it | hey can i view that 3 bed in sw1 looks good £900k ish | Viewing_Request | SW1 London | £900000
409 | Viewing request - urgent | Good morning, I would like to view the property as soon as possible due to relocation. The rent of £1,800 PCM suits my budget. | Viewing_Request | Stratford E15 | £1800 PCM
410 | enquiry | hi can i book viewing for the flat above tesco cheers | Viewing_Request | Tottenham N17 |
411 | Viewing availability | Dear team, Please confirm availability for viewing the detached house marketed at £1.2m. Regards | Viewing_Request | Richmond TW9 | £1200000
412 | viewing pls | i want to see the place in ealing £1500 pcm asap | Viewing_Request | Ealing W5 | £1500 PCM
413 | Property valuation request | Dear Sir/Madam, I would like to request a valuation for my freehold terraced property. Please advise next steps. | Valuation_Request | Walthamstow E17 |
414 | need valuation | hi can someone come value my flat? thinking to sell around £350k | Valuation_Request | Leyton E10 | £350000
415 | Valuation enquiry | Good afternoon, I am considering letting my property at approx £1,600 PCM and would appreciate a rental valuation. | Valuation_Request | Clapham SW4 | £1600 PCM
416 | house valuation | hello, need a valuation for semi-detached house leasehold. thanks | Valuation_Request | Barnet EN5 |
417 | Request for market appraisal | Please arrange a valuation visit for my chain-free property. Likely market value circa £700,000. | Valuation_Request | Greenwich SE10 | £700000
418 | quick val pls | can u tell me what my flat is worth in todays market? around 400k maybe | Valuation_Request | Canary Wharf E14 | £400000
419 | Valuation booking | Dear team, I wish to book a valuation for a 3-bed detached home. Considering sale within 3 months. | Valuation_Request | Harrow HA1 |
420 | rental valuation | hi thinking to rent out my flat what pcm could i get? its 2 bed | Valuation_Request | Brixton SW2 |
421 | Property appraisal request | Kindly arrange for a valuer to attend and assess my leasehold flat. Estimated £285,000. | Valuation_Request | Peckham SE15 | £285000
422 | valuation asap | need someone to come out tomorrow if poss to value property | Valuation_Request | Ilford IG1 |
423 | valuation enquiry formal | I would be grateful if you could provide a detailed valuation including EPC considerations. | Valuation_Request | Wimbledon SW19 |
424 | how much is my house worth | hi just wondering value of my semi detached maybe £500k?? | Valuation_Request | Romford RM1 | £500000
425 | Boiler not working | Dear landlord, the boiler has stopped working and no hot water since yesterday. Please arrange repair urgently. | Maintenance_Issue | Enfield EN2 |
426 | leak in kitchen | theres water leaking under sink its getting worse pls fix | Maintenance_Issue | Hackney E5 |
427 | URGENT electrics | hi electrics keep tripping cant use oven or lights dangerous | Maintenance_Issue | Croydon CR2 |
428 | broken boiler again | boiler gone again this is third time need engineer today | Maintenance_Issue | Camden NW5 |
429 | maintenance request | Dear agent, There is damp forming in the bedroom wall. Kindly investigate at earliest convenience. | Maintenance_Issue | Islington N7 |
430 | no heating | no heating all day freezing pls help | Maintenance_Issue | Stratford E15 |
431 | plumbing issue | The toilet is not flushing properly and water pressure is low. Please send plumber. | Maintenance_Issue | Ealing W3 |
432 | lights flickering | hi lights flicker in living room maybe wiring issue? | Maintenance_Issue | Tottenham N17 |
433 | urgent repair needed | Water leak from ceiling affecting electrics. This is hazardous. Immediate attention required. | Maintenance_Issue | Lewisham SE13 |
434 | broken window | window cracked last night wind coming in | Maintenance_Issue | Fulham SW6 |
435 | heating problem | Dear sir/madam, the radiators are cold despite boiler on. Please advise. | Maintenance_Issue | Haringey N8 |
436 | help asap | boiler not working again no hot water fix it pls | Maintenance_Issue | Barking IG11 |
437 | Offer on property | Dear agent, I would like to submit an offer of £450,000 for the freehold property, subject to survey. | Offer_Submission | Walthamstow E17 | £450000
438 | my offer | hi offering £1200 pcm for the flat can move in next month | Offer_Submission | Canary Wharf E14 | £1200 PCM
439 | formal offer submission | Please accept this email as my formal offer of £875,000 for the detached house. Chain-free buyer. | Offer_Submission | Richmond TW10 | £875000
440 | offer | i can do £300k quick sale no chain | Offer_Submission | Ilford IG2 | £300000
441 | Rental offer | Dear team, I wish to offer £1,650 PCM for the advertised property, subject to references. | Offer_Submission | Clapham SW4 | £1650 PCM
442 | bid | offering £510000 for the semi-detached hope acceptable | Offer_Submission | Barnet EN4 | £510000
443 | Offer for flat | Good afternoon, I would like to place an offer of £395,000 on the leasehold flat. Mortgage approved. | Offer_Submission | Hackney E9 | £395000
444 | offer asap | £1400 pcm take it or leave it need quick move | Offer_Submission | Croydon CR0 | £1400 PCM
445 | property offer | Dear Sir/Madam, I hereby submit an offer of £620,000 subject to contract and survey. | Offer_Submission | Greenwich SE10 | £620000
446 | my bid | hi can do £280k for the place let me know | Offer_Submission | Enfield EN3 | £280000
447 | offer for rent | I would like to offer £950 PCM for the studio flat. Ready to proceed immediately. | Offer_Submission | Tottenham N15 | £950 PCM
448 | quick offer | £720k no chain ready buyer pls respond | Offer_Submission | Wimbledon SW19 | £720000
449 | revised offer | Following viewing, I increase my offer to £465,000. | Offer_Submission | Leyton E10 | £465000
450 | final offer | final offer £1300 pcm can sign this week | Offer_Submission | Ealing W5 | £1300 PCM
451|Chelsea flat viewing|Dear Agent, I would like to view the 2-bed leasehold flat in SW3. At £1,250,000, I need to know the remaining lease length first.|Viewing_Request|SW3|£1,250,000
452|viewing e16|hi r u free to show us the terraced house in silvertown E16 tmrw? we are chain free.|Viewing_Request|E16|N/A
453|(no subject)|can i view the 1 bed in waterloo SE1 listed at 450 pw|Viewing_Request|SE1|£450 pw
454|Viewing Request - NW4|Good morning, please could we arrange a viewing for the freehold detached property in Hendon NW4? We have a mortgage in principle.|Viewing_Request|NW4|N/A
455|renting n11|pls book me a viewing for the friern barnet flat £1400 pcm|Viewing_Request|N11|£1400 pcm
456|W8 property|need to see the kensington w8 apartment asap. cash buyer ready to go.|Viewing_Request|W8|N/A
457|Purley house viewing|Dear Sir/Madam, we are very interested in the 4-bed semi-detached in CR8 on your website for £750k. Is Saturday morning possible?|Viewing_Request|CR8|£750k
458|ig2 viewing|hi wanna look at the gants hill flat u have for 1500 pcm. let me know.|Viewing_Request|IG2|1500 pcm
459|Enquiry: Winchmore Hill|Hello, I'd like to book a viewing for the chain-free property in N21. What is the current council tax band?|Viewing_Request|N21|N/A
460|BR6 let|can me and my mate view the orpington house for 1800 pcm?|Viewing_Request|BR6|1800 pcm
461|(no subject)|when is the next open house for the balham sw12 flat?|Viewing_Request|SW12|N/A
462|Woodford Green Viewing|To the Sales Team, please register our interest to view the £600,000 terraced house in E18. We have just sold our property STC.|Viewing_Request|E18|£600,000
463|Marylebone W1U|hi is the studio in W1U still available for viewings? looking for a pied-a-terre.|Viewing_Request|W1U|N/A
464|Valuation required SE13|Dear team, we are considering selling our 3-bed Victorian terraced house in Lewisham SE13. Could you provide a market appraisal?|Valuation_Request|SE13|N/A
465|hmo valuation N3|hi i have a 4 bed in finchley N3 that i want to rent out as an HMO. need an agent to value the rooms.|Valuation_Request|N3|N/A
466|(no subject)|need a valuation for my leasehold flat in wandsworth SW18. thinking of selling for 450k.|Valuation_Request|SW18|450k
467|Market Appraisal NW7|Good afternoon, we own a detached property in Mill Hill NW7 and are thinking of downsizing. Do you offer free valuations?|Valuation_Request|NW7|N/A
468|e7 rental val|can u tell me how much rent i can get for a 2 bed in forest gate e7?|Valuation_Request|E7|N/A
469|Probate Valuation HA3|Dear Sirs, I require a formal probate valuation for a freehold house in Harrow HA3. Please let me know your availability and fees.|Valuation_Request|HA3|N/A
470|W6 remortgage|hi need a quick valuation on my flat in hammersmith W6 for the bank.|Valuation_Request|W6|N/A
471|Selling in SE26|Hello, we are planning to put our semi-detached in Sydenham SE26 on the market. We bought it for £550,000. Could you value it?|Valuation_Request|SE26|£550,000
472|(no subject)|what is the rental value of my flat in woodford IG8?|Valuation_Request|IG8|N/A
473|Valuation Request EN8|Good morning, please arrange for a valuer to visit my terraced house in Waltham Cross EN8 next week.|Valuation_Request|EN8|N/A
474|cr5 house|hi want to sell my 4 bed in coulsdon CR5. need someone to value it asap.|Valuation_Request|CR5|N/A
475|palmers green n13|need an agent to value my ground floor flat in N13 for a long term let. thx.|Valuation_Request|N13|N/A
476|House Valuation SW20|Dear Lettings and Sales, I am unsure whether to sell or let my property in Raynes Park SW20. Could you provide both valuations?|Valuation_Request|SW20|N/A
477|NO HOT WATER E1W|The boiler has completely stopped working in the Wapping E1W flat! We are paying £2800 pcm for a premium flat, this is a joke. Fix it today!|Maintenance_Issue|E1W|£2800 pcm
478|leak in highbury|hi theres a massive leak under the kitchen sink in the N5 flat. cupboards are flooded. pls send plumber.|Maintenance_Issue|N5|N/A
479|(no subject)|we have mice in the deptford SE8 property. saw one in the lounge. need pest control.|Maintenance_Issue|SE8|N/A
480|Electrical Fault W1K|Dear Property Management, several plug sockets in the living room of the W1K apartment have stopped working and tripped the fuse box. Please advise.|Maintenance_Issue|W1K|N/A
481|broken oven sw13|the oven in barnes sw13 isnt heating up at all. just blowing cold air.|Maintenance_Issue|SW13|N/A
482|Terrible Mould NW2|This is my third email regarding the black mould in the Cricklewood NW2 property. The EPC is clearly wrong, there is zero insulation. Send someone now!|Maintenance_Issue|NW2|N/A
483|blocked drain e13|hi the shower drain in plaistow E13 is completly blocked and water is pooling. plunger doesnt work.|Maintenance_Issue|E13|N/A
484|Fallen Fence N10|Good afternoon, the strong winds last night blew down the boundary fence at the Muswell Hill N10 house. Could you send a contractor to secure it?|Maintenance_Issue|N10|N/A
485|(no subject)|radiators in the crystal palace SE19 flat are completely cold. boiler pressure is fine so must be a pump issue.|Maintenance_Issue|SE19|N/A
486|lock broken ig4|front door lock in redbridge IG4 is totally jammed. took me 20 mins to get the key out. needs replacing.|Maintenance_Issue|IG4|N/A
487|ROOF LEAKING BR4|Water is dripping through the ceiling in the master bedroom of the BR4 house! Get a roofer here immediately before the ceiling collapses!|Maintenance_Issue|BR4|N/A
488|Toilet flush broken HA1|Hello, the flush mechanism on the toilet in the Harrow HA1 property has snapped. We cannot flush it at all. Please send maintenance.|Maintenance_Issue|HA1|N/A
489|Offer on SW5 apartment|Dear Agent, we would like to submit a formal offer of £1,300,000 for the leasehold apartment in Earls Court SW5. We are cash buyers.|Offer_Submission|SW5|£1,300,000
490|renting bow e3|hi we loved the flat in E3. offering the asking price of 1700 pcm. can we get the paperwork sorted today?|Offer_Submission|E3|1700 pcm
491|(no subject)|putting in an offer of 850k for the highgate N6 flat. im a first time buyer with mortgage agreed in principle.|Offer_Submission|N6|850k
492|Offer for SE17|Good morning, following our viewing, we wish to offer £620,000 for the 2-bed flat in Walworth SE17. We are chain-free.|Offer_Submission|SE17|£620,000
493|w14 let offer|offering 2200 pcm for the west kensington W14 flat. ready to pay holding deposit.|Offer_Submission|W14|2200 pcm
494|Offer Submission - NW10|Dear Sirs, please put forward our offer of £495,000 for the terraced property in Willesden NW10. Proof of deposit is attached.|Offer_Submission|NW10|£495,000
495|ig5 offer|hi offering 410,000 for the clayhall IG5 house. let me know if vendor accepts.|Offer_Submission|IG5|410,000
496|(no subject)|we want the streatham sw16 flat. offering 1400 pcm on a 12 month contract.|Offer_Submission|SW16|1400 pcm
497|Manor Park E12 Offer|Hello, we are prepared to offer £380k for the ex-council flat in E12. We are in a short chain that is almost complete.|Offer_Submission|E12|£380k
498|n18 flat offer|hi i saw the 2 bed in edmonton N18. offering 365,000 for it as a chain free buyer.|Offer_Submission|N18|365,000
499|FINAL OFFER SE21|This is my final offer for the Dulwich SE21 house: £950,000. If the vendor wants more, I will look elsewhere. Let me know by 5pm.|Offer_Submission|SE21|£950,000
500|Corporate Let BR5|To the Lettings Manager, my company wishes to offer £1900 PCM for a 24-month corporate let on the property in St Mary Cray BR5.|Offer_Submission|BR5|£1900 PCM
